Pothole Detection System - Report
Generated:,2025-12-12 01:39:45

Summary Statistics
Total Detections,1000
Potholes,400
Cracks,600
Average Confidence,67.8%
High Severity,283
Medium Severity,542
Low Severity,175

Detailed Detections
ID,Type,Confidence,Latitude,Longitude,Timestamp
1,pothole,61,-37.96208,144.893569,2025-11-06 11:24:57
2,pothole,43,-33.92071,151.210438,2025-11-10 20:57:15
3,pothole,44,-33.891818,151.328938,2025-09-10 22:01:17
4,pothole,76,-33.972673,151.342843,2025-11-08 12:14:04
5,pothole,69,-33.978253,151.285079,2025-11-21 15:38:43
6,pothole,41,-33.861015,151.079678,2025-11-09 00:29:54
7,pothole,87,-33.859967,151.304316,2025-09-07 07:07:12
8,pothole,67,-37.69447,144.813798,2025-09-24 20:17:02
9,pothole,76,-37.843565,144.887975,2025-11-14 18:55:38
10,pothole,80,-33.727888,151.249276,2025-10-23 21:40:53
11,pothole,73,-37.905277,144.980277,2025-09-29 18:44:20
12,pothole,47,-33.811405,151.143569,2025-10-02 20:52:16
13,pothole,94,-33.985277,151.356835,2025-09-13 11:58:21
14,pothole,65,-37.86303,144.9595,2025-08-23 19:50:23
15,pothole,64,-37.714479,145.052191,2025-10-25 06:52:40
16,pothole,42,-37.918732,144.926719,2025-08-26 01:09:09
17,pothole,44,-37.872156,144.857066,2025-09-29 20:44:41
18,pothole,92,-33.844624,151.104885,2025-10-29 10:55:00
19,pothole,55,-37.668536,145.030207,2025-09-15 20:19:48
20,pothole,57,-37.883349,144.967135,2025-09-30 07:38:42
21,pothole,61,-33.849186,151.205891,2025-11-02 20:10:43
22,pothole,88,-37.95478,144.954842,2025-10-31 12:58:45
23,pothole,68,-37.7201,145.095691,2025-10-12 11:39:30
24,pothole,88,-37.868836,145.067748,2025-10-08 15:45:39
25,pothole,71,-33.772165,151.184056,2025-11-06 23:26:07
26,pothole,81,-33.988363,151.128511,2025-08-26 23:32:38
27,pothole,75,-33.846523,151.261465,2025-10-20 13:43:13
28,pothole,61,-37.864781,144.837383,2025-10-27 21:51:27
29,pothole,82,-33.942209,151.171902,2025-09-08 03:35:25
30,pothole,55,-33.862839,151.221995,2025-10-02 18:43:40
31,pothole,50,-33.81055,151.16938,2025-10-09 07:20:59
32,pothole,86,-37.915403,145.049831,2025-10-27 05:27:48
33,pothole,56,-37.668342,145.012306,2025-10-28 07:29:56
34,pothole,51,-33.833906,151.344651,2025-10-25 12:20:51
35,pothole,42,-37.93426,145.066344,2025-11-20 10:29:07
36,pothole,74,-33.789977,151.264793,2025-09-07 02:13:43
37,pothole,95,-33.806032,151.152036,2025-10-02 22:41:42
38,pothole,77,-33.735379,151.16421,2025-11-11 05:52:54
39,pothole,51,-37.681419,145.055103,2025-10-06 18:58:12
40,pothole,84,-37.826678,144.998025,2025-11-19 12:26:09
41,pothole,50,-37.817112,144.965964,2025-11-07 01:42:07
42,pothole,66,-37.801271,144.962619,2025-11-15 14:30:19
43,pothole,94,-37.672862,144.943953,2025-10-19 04:53:53
44,pothole,86,-37.734971,144.860497,2025-11-03 23:45:49
45,pothole,44,-33.935331,151.157449,2025-11-04 10:07:30
46,pothole,78,-33.720595,151.18869,2025-09-12 19:11:28
47,pothole,84,-37.909459,145.034098,2025-10-27 16:39:25
48,pothole,91,-33.969063,151.27703,2025-11-15 00:03:14
49,pothole,67,-37.715342,145.111419,2025-10-10 09:38:44
50,pothole,92,-37.72989,145.048895,2025-10-30 10:08:26
51,pothole,69,-37.732973,145.059592,2025-11-20 17:30:48
52,pothole,67,-37.674577,145.045586,2025-09-17 18:43:16
53,pothole,85,-37.728215,145.011487,2025-10-21 05:03:26
54,pothole,48,-37.955713,144.982584,2025-11-17 18:24:45
55,pothole,68,-33.809865,151.219468,2025-10-24 12:23:55
56,pothole,51,-37.71241,145.003658,2025-11-03 07:31:40
57,pothole,45,-33.781945,151.215834,2025-10-31 13:15:06
58,pothole,71,-37.925721,145.075491,2025-11-20 05:41:03
59,pothole,53,-33.719719,151.283256,2025-08-26 15:13:38
60,pothole,53,-34.008658,151.115445,2025-09-06 08:49:51
61,pothole,49,-37.963008,144.859099,2025-11-11 00:42:49
62,pothole,60,-37.688579,145.087899,2025-11-17 06:55:20
63,pothole,43,-33.844741,151.088767,2025-09-23 01:42:42
64,pothole,75,-33.950044,151.271303,2025-11-08 00:25:16
65,pothole,67,-37.843342,144.840808,2025-10-30 22:52:11
66,pothole,45,-33.821585,151.140789,2025-11-01 15:38:34
67,pothole,68,-33.858738,151.245443,2025-10-29 20:50:17
68,pothole,78,-37.820751,144.821512,2025-10-14 17:02:46
69,pothole,50,-33.825463,151.078906,2025-09-07 17:07:07
70,pothole,81,-37.810148,144.883305,2025-08-28 00:36:40
71,pothole,46,-33.994311,151.092996,2025-11-11 07:47:32
72,pothole,79,-37.90515,145.07357,2025-09-10 07:20:08
73,pothole,56,-37.916877,145.091529,2025-09-24 14:12:29
74,pothole,88,-37.905448,144.946911,2025-10-09 18:01:40
75,pothole,90,-33.825826,151.065476,2025-10-01 04:34:52
76,pothole,42,-33.886643,151.212095,2025-08-27 18:14:16
77,pothole,47,-33.973996,151.264944,2025-10-30 00:03:17
78,pothole,64,-37.86379,145.018491,2025-10-10 22:34:14
79,pothole,90,-33.832501,151.067863,2025-11-04 20:37:52
80,pothole,94,-34.013588,151.221746,2025-10-10 01:57:46
81,pothole,85,-33.800713,151.259497,2025-09-06 00:06:07
82,pothole,88,-33.901557,151.266835,2025-10-07 12:51:43
83,pothole,75,-37.948842,145.021627,2025-11-12 21:53:05
84,pothole,50,-33.929569,151.161262,2025-11-15 05:05:03
85,pothole,93,-33.881383,151.220529,2025-09-16 08:59:01
86,pothole,87,-37.940331,144.904039,2025-10-09 01:18:12
87,pothole,49,-33.90902,151.306376,2025-09-02 12:43:28
88,pothole,75,-33.778836,151.145341,2025-09-04 11:05:15
89,pothole,43,-33.936973,151.197391,2025-11-03 11:41:36
90,pothole,77,-37.922344,145.040341,2025-10-06 19:23:20
91,pothole,60,-33.885446,151.137964,2025-10-29 16:08:03
92,pothole,66,-37.936934,144.920856,2025-11-15 04:25:38
93,pothole,53,-33.799327,151.097618,2025-08-28 06:08:26
94,pothole,60,-37.925519,144.920444,2025-09-19 12:14:34
95,pothole,79,-37.726168,145.028539,2025-10-16 06:12:20
96,pothole,51,-37.91203,145.080538,2025-10-31 03:11:56
97,pothole,54,-33.725257,151.255269,2025-11-10 02:12:36
98,pothole,56,-37.727529,145.073522,2025-11-18 15:04:56
99,pothole,94,-33.842919,151.355816,2025-09-06 02:28:23
100,pothole,77,-34.005288,151.346577,2025-10-22 18:52:20
101,pothole,75,-33.990742,151.272184,2025-11-06 09:48:09
102,pothole,95,-37.865072,145.054779,2025-09-18 02:56:13
103,pothole,46,-34.013715,151.326363,2025-10-22 08:43:56
104,pothole,64,-37.844712,144.815201,2025-09-28 04:25:08
105,pothole,56,-33.938033,151.304855,2025-09-14 04:28:57
106,pothole,89,-37.792104,144.887739,2025-10-26 10:07:43
107,pothole,57,-34.0148,151.111127,2025-10-17 12:48:17
108,pothole,82,-33.868211,151.357809,2025-11-06 16:05:45
109,pothole,72,-33.722002,151.152568,2025-10-13 18:59:42
110,pothole,77,-33.83533,151.113002,2025-09-01 00:54:43
111,pothole,72,-37.881254,144.983648,2025-09-04 08:47:57
112,pothole,60,-37.772488,144.84379,2025-09-05 06:38:47
113,pothole,51,-37.787828,144.920608,2025-11-19 21:34:58
114,pothole,93,-33.940592,151.163558,2025-09-21 20:03:53
115,pothole,74,-37.883466,145.041778,2025-11-01 14:13:16
116,pothole,81,-37.924356,144.862552,2025-11-03 06:35:23
117,pothole,59,-37.673501,144.932856,2025-10-03 05:09:56
118,pothole,54,-33.888277,151.072061,2025-11-08 14:45:28
119,pothole,56,-33.940424,151.137163,2025-09-14 21:00:21
120,pothole,55,-33.844815,151.190434,2025-09-11 16:19:47
121,pothole,89,-37.749114,144.94056,2025-10-12 10:21:52
122,pothole,57,-33.948514,151.134615,2025-10-22 19:48:04
123,pothole,45,-33.86347,151.194056,2025-09-02 21:05:25
124,pothole,81,-37.800289,144.934003,2025-09-28 12:20:45
125,pothole,50,-37.775874,144.991921,2025-10-15 06:13:37
